date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2021-03-15,15173.347095755435,11760.869565217385,183197.98404311642,159.76582077777292,92,451,0.3428978260869565,0.14870272139465204,8.526512829121202e-14,-206782.3224195561,697822.2008174711,-6588.226890078889,21761.573985834322,0.0,0.0,-30785.91473580144,-76585.41074658054
2021-03-16,970.6727721351125,9866.304347826086,185319.17595254,188.41732723278622,92,460,0.32931576086956527,0.13720821586341928,8.526512829121202e-14,-441545.93019136006,674321.551054672,4673.23124347171,-3702.558471336597,0.0,0.0,-45547.53854323268,-91877.33253136769
2021-03-17,18202.247292198917,17649.999999999993,187661.7872562825,183.00531742835682,94,461,0.33278244680851066,0.15088277195596062,-2.842170943040401e-14,-374015.7457738224,682038.8416355395,19438.17663919377,-1235.9293469948548,0.0,0.0,-28896.204839300062,-75811.65165337067
2021-03-18,18672.618195973853,17386.170212765963,191375.06218179106,193.76111161673566,94,465,0.32787606382978723,0.13239060235496203,5.684341886080802e-14,-511641.13787118444,674958.8109911251,-9144.56048500113,27817.178680974983,0.0,0.0,-29364.908461090647,-77208.67400653841
2021-03-19,9374.733152187117,12443.333333333336,212625.24131754317,181.50451734575876,90,449,0.32733611111111116,0.18587906610709473,2.842170943040401e-14,-393892.0719547133,669805.8576853126,-22595.945399040298,31970.678551227415,0.0,0.0,-43963.08169454444,-97119.39202393022
2021-03-22,22362.447438182593,20306.70731707317,240561.96529588473,178.7383060395308,82,403,0.32020000000000004,0.17950541538465312,8.526512829121202e-14,-63121.08675928023,652168.328853321,16962.606914032775,5399.8405241498185,0.0,0.0,-37956.78219182812,-98097.27351579932
2021-03-23,-2991.649535736099,9504.390243902439,295493.31354447466,193.18335961425817,82,410,0.3124313414634146,0.21826918948141297,2.842170943040401e-14,-289639.2321897776,638618.1855544444,7541.679830596606,-10533.329366332704,0.0,0.0,-77058.16128146902,-150931.48966758768
2021-03-24,24452.82278773606,23421.428571428576,298619.756137201,212.0403685956646,84,413,0.3279547619047619,0.22519693339348154,-5.684341886080802e-14,-175637.86195899613,676987.32681485,22435.5267105869,2017.2960771491607,0.0,0.0,-50414.156615159845,-125069.0956494601
2021-03-25,-47253.730597684385,-15613.953488372083,285216.08490648377,195.41759093994506,86,425,0.31623837209302325,0.2075271672274385,1.1368683772161603e-13,-365838.98939839285,647784.3589203623,12224.596096439225,-59478.326694123614,0.0,0.0,-118753.16941524528,-190057.1906418662
2021-03-26,21500.55677286699,13276.190476190483,420380.5280413918,226.60348427036317,84,416,0.323602380952381,0.2335045108554441,1.1368683772161603e-13,-379521.61540303734,664748.1766585936,18875.996916626493,2624.5598562404957,0.0,0.0,-83821.17872175133,-188916.3107320993
2021-03-29,26916.52396492794,27262.99999999999,415085.4130967698,66.30069488275589,30,150,0.3529616666666667,0.3243322752868386,1.1368683772161603e-13,-99409.54301769813,707864.1266818892,3305.518730444396,23611.005234483542,0.0,0.0,-76921.13000414726,-180692.4832783397
2021-03-30,16279.144885590533,17007.14285714285,353076.9693940436,86.44470124597485,42,205,0.34645952380952383,0.2483712390139415,-2.2737367544323206e-13,-6923.12531495947,694594.0805481592,3454.718783499847,12824.426102090687,0.0,0.0,-72076.54216416634,-160345.78451267726
2021-03-31,13046.121245922348,7190.476190476204,354363.15549991943,75.98861343502905,42,207,0.3508869047619048,0.2471650562976519,-5.684341886080802e-14,-81144.80656913434,703764.6645674099,-6990.683656178427,20036.804902100776,0.0,0.0,-75620.65624249254,-164211.4451174724
2021-04-01,25894.162227423494,12780.952380952374,360813.9701508163,76.65098275720023,42,208,0.3477309523809524,0.263405709562622,-2.2737367544323206e-13,32314.853797786727,697766.7477212446,10933.515073418921,14960.647154004575,0.0,0.0,-64385.98129303778,-154589.47383074186
2021-04-05,692.2023820152726,3606.818181818179,264811.68884149264,72.14647355212624,44,213,0.3547386363636364,0.18971791039230024,0.0,-60852.99312171255,711588.5364797864,-3920.2563605622804,4612.458742577553,0.0,0.0,-65582.86630191,-131785.78851228318
2021-04-06,10664.168762211459,8898.863636363625,234126.4161164551,106.25310359454143,88,432,0.33945625,0.18411658728486827,-1.1368683772161603e-13,-175783.15266713704,685613.1667903563,-5872.074195260086,16536.242957471546,0.0,0.0,-47973.688370496864,-106505.29239961064
2021-04-07,5188.599462361458,4057.954545454546,221777.8071934795,111.25227056619246,88,437,0.33998068181818186,0.15645298572056612,-2.842170943040401e-14,-225116.75829644685,687587.9594323932,-2889.855501189609,8078.4549635510675,0.0,0.0,-50367.104606574605,-105811.5564049445
2021-04-08,20916.124808831122,17567.441860465122,290506.0458943158,122.68341484364198,86,423,0.34531453488372094,0.18783074657381588,1.1368683772161603e-13,-257230.62179655954,699467.2108349581,2457.871951860236,18458.252856970885,0.0,0.011627906976744186,-51833.07007959147,-124459.58155317043
2021-04-09,14616.608547988588,6641.86046511628,235449.0576131217,106.6049978722112,86,423,0.33153488372093026,0.1836311129885642,-1.4210854715202004e-13,-179948.49253971817,669795.4585751578,6275.249081172176,8341.359466816411,0.0,0.0,-44352.26085316404,-103214.52525644448
2021-04-12,12864.53322645918,10773.25581395349,219311.4021825198,124.96464908052849,86,428,0.33518023255813956,0.17071849626019914,8.526512829121202e-14,-143524.56897257958,678797.4976529601,1383.9353836479313,11480.597842811248,0.0,0.0,-42088.28196825131,-96916.13251388125
2021-04-13,7189.509961274396,5387.777777777785,235966.46496628827,129.59957489246327,90,443,0.3186188888888889,0.18162191000398756,-8.526512829121202e-14,-233900.86927968494,646462.5545737152,-591.7740749610789,7781.2840362354755,0.0,0.0,-51931.705855190135,-110923.3220967622
2021-04-14,8305.862145762398,5309.090909090909,245971.2336699724,127.09612656642985,88,435,0.31316761363636364,0.18676402808373904,8.526512829121202e-14,-242091.4556065489,636546.0917390836,-2347.659689936396,10653.521835698793,0.0,0.011363636363636364,-53314.04239829713,-114806.85081579023
2021-04-15,11306.748896141939,7356.818181818186,276675.31653174886,107.9708235995929,88,436,0.3040789772727273,0.17987459273102943,2.842170943040401e-14,-34651.1277496327,614641.8286218625,-3637.969434213122,14944.71833035506,0.0,0.0,-57970.05106039487,-127138.88019333208
2021-04-16,4299.34583418148,-2152.7027027027134,212304.22031171605,117.03352675200348,74,362,0.3016581081081081,0.18860690888416437,0.0,-60267.12028720473,609712.5293903871,4863.028442634292,-563.6826084528128,0.0,0.0,-48893.74277049954,-101969.79784842854
2021-04-19,21547.68396001839,11963.043478260865,181112.2038636683,124.44448727253292,92,455,0.30745706521739136,0.14421619836464797,-8.526512829121202e-14,-65270.4753546886,623391.0560880092,21254.307506956942,293.3764530614444,0.0,0.0,-23854.811493171223,-69132.8624590883
2021-04-20,9581.85475671152,8418.478260869573,184941.81891329645,145.21131631102435,92,456,0.3086869565217391,0.1456334789341328,0.0,71455.79239759003,630402.5617286655,5747.740240546203,3834.1145161653176,0.0,0.0,-36798.81128792362,-83034.26601624773
2021-04-21,14228.254090002189,11031.521739130432,156942.90241297588,121.58238638950363,92,454,0.2990298913043478,0.13632428768034466,-8.526512829121202e-14,93946.08884543928,604804.8595500661,6756.166231985387,7472.087858016801,0.0,0.0,-25129.053899631283,-64364.77950287526
2021-04-22,11104.239178823793,4050.00000000001,161479.6500353249,133.10021556624477,92,456,0.3153407608695652,0.1392635576666579,-1.4210854715202004e-13,-97776.15738742091,638225.7306310317,-731.685867733223,11835.925046557017,0.0,0.0,-29398.77354557368,-69768.68605440491
