date,option_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2025-11-10,-819.9284985652627,5217.866306074167,0.0,4397.937807508904,4397.937807508904,-2077.785727134672,6475.723534643576,150032.08685046344,571
2025-11-11,-1769.2666774616075,-1739.142258902144,0.0,-3508.4089363637513,-3508.4089363637513,-5039.084729078968,1530.6757927152162,143275.00148075304,571
2025-11-12,6856.927298652507,-3652.7284052983982,0.0,3204.1988933541083,3204.1988933541083,-84.79528513699928,3288.9941784911075,133959.2691221503,571
2025-11-13,16561.4997674992,-16382.256140749343,0.0,179.2436267498577,179.2436267498577,4815.262564531311,-4636.018937781453,144414.46608853462,608
2025-11-14,-4166.039060296213,4080.8130973087195,0.0,-85.22596298749394,-85.22596298749394,-4875.236015573363,4790.01005258587,146277.72462605117,611
2025-11-17,-995.9479633144839,1150.692818165554,0.0,154.7448548510699,154.7448548510699,5262.480683146332,-5107.735828295263,136343.14529540727,600
2025-11-18,-1456.9688172065798,284.6108636335428,0.0,-1172.3579535730373,-1172.3579535730373,-1236.4361136962912,64.07816012325394,140306.67428959894,643
2025-11-19,-2153.7695564467363,5139.883781713119,0.0,2986.1142252663826,2986.1142252663826,2329.693600082904,656.4206251834783,148102.95359196627,669
2025-11-20,618.0319956357523,-4914.472981843217,0.0,-4296.440986207464,-4296.440986207464,4725.936742154068,-9022.377728361533,143090.48278331824,691
2025-11-21,28078.267094618113,-14908.696941472173,0.0,13169.57015314594,13169.57015314594,1561.9802754241775,11607.589877721763,154810.02316421948,707
2025-11-24,12041.408495634996,-10359.00051403602,0.0,1682.4079815989753,1682.4079815989753,-9265.395267455406,10947.803249054381,152990.69353960518,560
2025-11-25,2375.299047754008,-3949.2887874877865,0.0,-1573.9897397337786,-1573.9897397337786,818.7001138170159,-2392.689853550794,160928.47023552158,607
2025-11-26,-6282.997006009004,5498.709550848598,0.0,-784.287455160406,-784.287455160406,-8092.4848987124,7308.197443551995,170694.05989914836,642
2025-11-28,-2090.1273351788946,1594.46864299952,0.0,-495.65869217937467,-495.65869217937467,-7008.252226351282,6512.593534171907,174956.84291925162,680
2025-12-01,5166.499404578586,-8.243262759688566,0.0,5158.256141818897,5158.256141818897,538.783784146243,4619.472357672654,176412.49772333904,659
