11:48:08 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
11:48:56 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks/COIN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COST.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:59 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/CPAY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:59 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:49:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPRT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:49:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:49:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CRL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:49:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CRM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:49:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/CRWD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
