19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
│ Health Care            ┆ 0.1512      ┆ 2.4930   ┆ 0.1598    ┆ 1758         │
│ Industrials            ┆ -0.0368     ┆ -0.4943  ┆ 0.1598    ┆ 1758         │
│ Information Technology ┆ 0.0759      ┆ 1.6326   ┆ 0.1598    ┆ 1758         │
│ Materials              ┆ -0.0284     ┆ -0.5700  ┆ 0.1598    ┆ 1758         │
│ Real Estate            ┆ -0.1460     ┆ -3.0931  ┆ 0.1598    ┆ 1758         │
│ Utilities              ┆ -0.0757     ┆ -2.5718  ┆ 0.1598    ┆ 1758         │
│ market                 ┆ -0.2497     ┆ -8.6311  ┆ 0.1598    ┆ 1758         │
│ spx_return             ┆ -4.3683     ┆ -1.5175  ┆ 0.1598    ┆ 1758         │
└────────────────────────┴─────────────┴──────────┴───────────┴──────────────┘

=== decile table (forward 60-session P&L per $ vega, long reference straddle) ===
shape: (10, 6)
┌────────┬────────────────────────┬──────────────────────┬──────────────┬────────────┬───────┐
│ decile ┆ gross_fwd_pnl_per_vega ┆ net_fwd_pnl_per_vega ┆ gross_t_stat ┆ mean_names ┆ dates │
│ ---    ┆ ---                    ┆ ---                  ┆ ---          ┆ ---        ┆ ---   │
│ i64    ┆ f64                    ┆ f64                  ┆ f64          ┆ f64        ┆ u32   │
╞════════╪════════════════════════╪══════════════════════╪══════════════╪════════════╪═══════╡
│ 1      ┆ 1.4160                 ┆ -20.7810             ┆ 4.4591       ┆ 48.1280    ┆ 1758  │
│ 2      ┆ 1.9626                 ┆ -18.4206             ┆ 6.0128       ┆ 48.6132    ┆ 1758  │
│ 3      ┆ 2.0047                 ┆ -17.7990             ┆ 6.3673       ┆ 48.5063    ┆ 1758  │
│ 4      ┆ 1.9875                 ┆ -17.9068             ┆ 6.3222       ┆ 48.6212    ┆ 1758  │
│ 5      ┆ 1.9462                 ┆ -17.7732             ┆ 6.1623       ┆ 48.7076    ┆ 1758  │
│ 6      ┆ 2.0624                 ┆ -18.0763             ┆ 6.5851       ┆ 48.4363    ┆ 1758  │
│ 7      ┆ 2.1864                 ┆ -18.1422             ┆ 7.1538       ┆ 48.5262    ┆ 1758  │
│ 8      ┆ 2.2610                 ┆ -18.5598             ┆ 7.4120       ┆ 48.6013    ┆ 1758  │
│ 9      ┆ 2.1452                 ┆ -19.7403             ┆ 6.9235       ┆ 48.5182    ┆ 1758  │
│ 10     ┆ 1.4161                 ┆ -26.3827             ┆ 4.2153       ┆ 49.0165    ┆ 1758  │
└────────┴────────────────────────┴──────────────────────┴──────────────┴────────────┴───────┘

figures in /Users/andrew/Projects/quant-research/voltium/demos/figures (*_iv_zscore_2018_2025.png)  (7445s)
