horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,V,125,1.1502222105087883,0.11811204955002202,0.5309769725108735,0.11040952112644928,0.5422122947954053,0.11150051603487406,0.4865165898682132,0.09895616904760982,0.4529888066777911,0.07973875008049025,-2.4560635457726123,5.594678810396327,1.3424802729649326,21.93044834819152,MEAN,MEAN
5,target_rv,VICI,94,0.825012154135714,0.06825443148262879,0.2898704312845268,0.061571714202207424,0.29055727438445855,0.06195474058946328,0.3101074916780954,0.06693443267963366,0.2652315055649329,0.053739081808890234,-2.2408245462478624,3.82964733897969,1.256960902362944,18.73326615321668,MEAN,MEAN
5,target_rv,VLO,125,0.5976672513297479,0.15036621858412932,0.4105969465653752,0.1527864821930346,0.43457583224970864,0.16048974614361766,0.28665035472876976,0.11172480351158068,0.348214097654056,0.1171564336855346,-3.365386172722368,3.7873957936661333,1.1351994345489098,31.80079545249379,IV,IV
5,target_rv,VLTO,72,1.7702243557995625,0.14188727816581487,0.5678603582199168,0.11391025290597327,0.5678956075010109,0.10997625332493816,0.5306955792709488,0.10557155915811965,0.6981066782489846,0.0980279949174807,-1.5936140934505532,4.1120316268657895,1.2394008802735494,21.288374596729582,IV,MEAN
5,target_rv,VMC,101,1.0513331628915363,0.09905029716277643,0.37866386726510426,0.09594941369720966,0.33959350844939845,0.08625992203247453,0.3489780729510499,0.08974691795323247,0.2880763913809504,0.07646634353616864,-1.6619687241688648,6.51603770367567,1.3689452809565568,24.17729545653723,MEAN,MEAN
5,target_rv,VRSK,99,3.828512558396401,0.2394693697977786,1.0291847568005803,0.18244570951696834,0.9891205787590551,0.1790891508714693,0.6653124090700369,0.1594864179402702,1.2599601284504698,0.1825050258598255,-1.772582303048346,1.9846725296318666,1.0904430460210321,23.92856558659885,IV,IV
5,target_rv,VRSN,105,1.7590659680459007,0.20751049401407992,0.854341784822943,0.16697081536698577,0.9168145309813479,0.16673833757501827,0.7649999936969542,0.1591997077539835,1.3847677677742127,0.17583305060561624,-1.176792487213217,4.260389708074446,1.2035523112979118,25.190585395408565,IV,IV
5,target_rv,VRTX,125,2.5481757681893784,0.4044763914943671,1.4930059337679735,0.3760837133730919,2.170492127348077,0.4010999442783496,1.0772360443785733,0.28987067890133356,2.806059824384103,0.3272302071606405,-1.5432985957362617,1.8175315524636901,1.0658395777091114,29.422987354349182,IV,IV
5,target_rv,VST,125,0.75017777249051,0.22126938472680358,0.4878980013586249,0.27814278255247205,0.3659046730555777,0.1595440684734216,0.3176906123702035,0.17992833394292967,0.33683853166498584,0.15560936830724706,-2.255617024126248,11.666111138758046,1.2698061234164204,54.904978333601164,IV,MEAN
5,target_rv,VTR,96,1.2596876826940233,0.1286390863408233,0.7421272421511981,0.12648815746702777,0.8125591536864256,0.10931207158325768,0.6065758824890183,0.10863409687563634,0.8645504741396713,0.09780189980169889,-1.9580548778857207,5.890855208509043,1.3870132159523059,21.112183487993473,IV,MEAN
